source,target,co_usage_percent,source_usage_percent,target_usage_percent
Tangrowth,Hatterene,57.059,,0.0
Steelix,Arcanine,57.0,,0.0
Talonflame,Kyogre,56.995,0.0,35.0
Cloyster,Palkia,56.96,0.0,9.0
Cloyster,Mudsdale,56.93,0.0,0.0
Cloyster,Cinccino,56.93,0.0,0.0
Thundurus Incarnate Forme,Incineroar,56.853,21.0,59.0
Aegislash Shield Forme,Kyogre,56.814,0.0,35.0
Pheromosa,Amoonguss,56.807,1.0,18.0
Glastrier,Kyogre,56.785,0.0,35.0
Stonjourner,Lapras,56.707,0.0,1.0
Frost Rotom,Inteleon,56.641,,0.0
Indeedee Female,Kyogre,56.547,18.0,35.0
Meowstic Male,Zacian Crowned Sword,56.539,0.0,65.0
Sandslash,Arcanine,56.404,,0.0
Scolipede,Cinderace,56.046,,1.0
Grimmsnarl,Incineroar,56.035,30.0,59.0
Zapdos,Incineroar,56.028,8.0,59.0
Galarian Slowbro,Venusaur,55.914,,7.0
Diggersby,Incineroar,55.884,0.0,59.0
Calyrex Shadow Rider,Zacian Crowned Sword,55.883,22.0,65.0
Cobalion,Whimsicott,55.797,0.0,17.0
Frost Rotom,Talonflame,55.796,,0.0
Lucario,Zapdos,55.691,0.0,8.0
Miltank,Riolu,55.672,,0.0
Primarina,Heat Rotom,55.646,0.0,1.0
Mandibuzz,Kyogre,55.634,0.0,35.0
Lucario,Rillaboom,55.613,0.0,27.0
Altaria,Incineroar,55.6,0.0,59.0
Venusaur,Groudon,55.583,7.0,23.0
Miltank,Dusknoir,55.58,,
Zekrom,Comfey,55.551,0.0,1.0
Bronzong,Xerneas,55.543,1.0,4.0
Aerodactyl,Groudon,55.534,0.0,23.0
Zamazenta Crowned Shield,Zygarde Complete Forme,55.528,0.0,1.0
Lucario,Tornadus Incarnate Forme,55.525,0.0,8.0
Flapple,Whimsicott,55.523,,17.0
Lucario,Solgaleo,55.521,0.0,4.0
Blastoise,Incineroar,55.509,7.0,59.0
Clefairy,Zacian Crowned Sword,55.504,0.0,65.0
Duraludon,Whimsicott,55.266,0.0,17.0
Gigalith,Kyogre,55.217,0.0,35.0
Dusclops,Palkia,55.215,4.0,9.0
Duraludon,Zacian Crowned Sword,55.147,0.0,65.0
Dracozolt,Xerneas,55.076,0.0,4.0
Leafeon,Groudon,55.038,0.0,23.0
Steelix,Urshifu Single Strike Style,55.02,,4.0
Hitmontop,Calyrex Shadow Rider,55.016,0.0,22.0
Flapple,Togekiss,54.925,,1.0
Steelix,Goodra,54.759,,0.0
Palkia,Calyrex Ice Rider,54.721,9.0,11.0
Thievul,Indeedee Male,54.657,,1.0
Sandaconda,Gothitelle,54.641,,2.0
Aerodactyl,Charizard,54.519,0.0,19.0
Primarina,Calyrex Ice Rider,54.404,0.0,11.0
Rayquaza,Rillaboom,54.323,1.0,27.0
Ho-oh,Gastrodon,54.263,1.0,20.0
Electivire,Kyogre,54.207,0.0,35.0
Krookodile,Venusaur,54.206,0.0,7.0
Tangrowth,Incineroar,54.193,,59.0
Zacian Crowned Sword,Incineroar,54.189,65.0,59.0
Terrakion,Whimsicott,54.186,0.0,17.0
Shuckle,Dialga,54.147,0.0,4.0
Lycanroc Midnight Form,Incineroar,54.037,,59.0
Unfezant,Luxray,54.024,,0.0
Lycanroc Dusk Form,Togekiss,54.019,,1.0
Thievul,Incineroar,53.95,,59.0
Raichu,Zacian Crowned Sword,53.881,3.0,65.0
Mow Rotom,Incineroar,53.821,0.0,59.0
Shedinja,Kingdra,53.761,4.0,3.0
Noctowl,Tyranitar,53.605,,0.0
Hitmontop,Regieleki,53.59,0.0,29.0
Heat Rotom,Gastrodon,53.559,1.0,20.0
Mantine,Thundurus Therian Forme,53.557,0.0,0.0
Scrafty,Regieleki,53.554,0.0,29.0
Articuno,Kyogre,53.393,0.0,35.0
Cradily,Kyogre,53.337,0.0,35.0
Gourgeist Super Size,Wash Rotom,53.272,,0.0
Magnezone,Rillaboom,53.254,,27.0
Alolan Raichu,Indeedee Female,53.223,,18.0
Ferrothorn,Kyogre,53.21,5.0,35.0
Garchomp,Whimsicott,53.153,0.0,17.0
Gourgeist Small Size,Rillaboom,53.12,,27.0
Mr. Mime,Hatterene,53.112,,0.0
Hitmontop,Kyogre,53.048,0.0,35.0
Scizor,Venusaur,52.96,0.0,7.0
Tapu Koko,Calyrex Ice Rider,52.931,0.0,11.0
Tsareena,Regieleki,52.867,0.0,29.0
Porygon-Z,Zacian Crowned Sword,52.698,0.0,65.0
Porygon2,Incineroar,52.601,9.0,59.0
Groudon,Grimmsnarl,52.588,23.0,30.0
Unfezant,Snorlax,52.562,,0.0
Unfezant,Riolu,52.509,,0.0
Lycanroc Midnight Form,Rillaboom,52.476,,27.0
Dunsparce,Indeedee Female,52.447,,18.0
Dedenne,Tyranitar,52.432,,0.0
Electivire,Calyrex Shadow Rider,52.331,0.0,22.0
Electivire,Whimsicott,52.319,0.0,17.0
Noctowl,Hitmontop,52.253,,0.0
Seismitoad,Grimmsnarl,52.244,1.0,30.0
Electivire,Rillaboom,52.23,0.0,27.0
Electivire,Indeedee Female,52.213,0.0,18.0
Seismitoad,Incineroar,52.21,1.0,59.0
Whimsicott,Zacian Crowned Sword,52.199,17.0,65.0
Eternatus,Incineroar,52.155,1.0,59.0
Toxtricity Low Key Form,Cinderace,52.14,,1.0
Whimsicott,Kyogre,52.084,17.0,35.0
Stoutland,Togekiss,52.053,,1.0
Aromatisse,Torkoal,52.049,,3.0
Aromatisse,Venusaur,52.044,,7.0
Flygon,Umbreon,51.96,,1.0
Mewtwo,Zacian Crowned Sword,51.952,0.0,65.0
Chandelure,Whimsicott,51.902,0.0,17.0
Krookodile,Urshifu Single Strike Style,51.893,0.0,4.0
Dunsparce,Togekiss,51.852,,1.0
Alolan Exeggutor,Calyrex Ice Rider,51.831,0.0,11.0
Torkoal,Zacian Crowned Sword,51.753,3.0,65.0
Shedinja,Indeedee Female,51.639,4.0,18.0
Yveltal,Regieleki,51.634,11.0,29.0
Nihilego,Incineroar,51.618,0.0,59.0
Slowking,Palkia,51.611,0.0,9.0
Calyrex Ice Rider,Amoonguss,51.585,11.0,18.0
Urshifu Rapid Strike Style,Zacian Crowned Sword,51.567,2.0,65.0
Dracozolt,Whimsicott,51.563,0.0,17.0
Slowking,Incineroar,51.558,0.0,59.0
Arcanine,Eternatus,51.544,0.0,1.0
Garchomp,Charizard,51.474,0.0,19.0
Krookodile,Palkia,51.326,0.0,9.0
Dracozolt,Indeedee Female,51.264,0.0,18.0
Tapu Lele,Kartana,51.214,2.0,7.0
Regidrago,Rillaboom,51.195,0.0,27.0
Landorus Incarnate Forme,Yveltal,51.192,0.0,11.0
Mr. Mime,Indeedee Female,51.162,,18.0
Glastrier,Dusclops,51.141,0.0,4.0
Dracovish,Indeedee Female,51.136,0.0,18.0
Thievul,Cinderace,51.093,,1.0
Vaporeon,Espeon,51.079,,0.0
Snorlax,Indeedee Female,51.078,0.0,18.0
Kommo-o,Yveltal,50.988,0.0,11.0
Drampa,Incineroar,50.972,0.0,59.0
Togedemaru,Venusaur,50.969,0.0,7.0
Kommo-o,Gastrodon,50.968,0.0,20.0
Riolu,Calyrex Ice Rider,50.952,0.0,11.0
Dusclops,Regieleki,50.931,4.0,29.0
Glaceon,Zamazenta Crowned Shield,50.929,0.0,0.0
Espeon,Indeedee Female,50.899,0.0,18.0
Glaceon,Zygarde Complete Forme,50.875,0.0,1.0
Glaceon,Araquanid,50.875,0.0,1.0
Glaceon,Incineroar,50.875,0.0,59.0
Glaceon,Regieleki,50.875,0.0,29.0
Tapu Lele,Tornadus Incarnate Forme,50.795,2.0,8.0
Mandibuzz,Zapdos,50.734,0.0,8.0
Cofagrigus,Togekiss,50.692,,1.0
Vaporeon,Sylveon,50.594,,
Togedemaru,Groudon,50.54,0.0,23.0
Klefki,Incineroar,50.539,0.0,59.0
Flapple,Excadrill,50.517,,0.0
Chandelure,Groudon,50.485,0.0,23.0
Liepard,Chansey,50.312,0.0,0.0
Liepard,Shuckle,50.311,0.0,0.0
Xurkitree,Zacian Crowned Sword,50.254,0.0,65.0
Maractus,Torkoal,50.218,,3.0
Noctowl,Claydol,50.083,,
Noctowl,Durant,50.083,,0.0
Spectrier,Zacian Crowned Sword,49.985,1.0,65.0
Diggersby,Kyogre,49.969,0.0,35.0
Kingler,Calyrex Shadow Rider,49.959,0.0,22.0
Tentacruel,Rillaboom,49.922,,27.0
Cinderace,Whimsicott,49.813,1.0,17.0
Mudsdale,Zacian Crowned Sword,49.805,0.0,65.0
Sandaconda,Gengar,49.743,,0.0
Groudon,Zacian Crowned Sword,49.7,23.0,65.0
Togedemaru,Lugia,49.577,0.0,0.0
Togedemaru,Cinderace,49.538,0.0,1.0
Araquanid,Incineroar,49.528,1.0,59.0
Altaria,Palkia,49.518,0.0,9.0
Altaria,Calyrex Ice Rider,49.517,0.0,11.0
Umbreon,Thundurus Incarnate Forme,49.504,1.0,21.0
Lunala,Groudon,49.476,2.0,23.0
Diggersby,Zapdos,49.456,0.0,8.0
Flapple,Tyranitar,49.449,,0.0
Roserade,Dusclops,49.422,,4.0
Crustle,Indeedee Female,49.347,,18.0
Flygon,Magnezone,49.321,,
Flygon,Meowstic Male,49.318,,0.0
Moltres,Regieleki,49.314,0.0,29.0
Beartic,Alolan Ninetales,49.168,,0.0
Flygon,Urshifu Single Strike Style,49.133,,4.0
Vaporeon,Flareon,49.127,,
Moltres,Whimsicott,49.083,0.0,17.0
Moltres,Ferrothorn,49.082,0.0,5.0
Boltund,Charizard,48.981,0.0,19.0
Xerneas,Grimmsnarl,48.98,4.0,30.0
Zekrom,Incineroar,48.854,0.0,59.0
Arcanine,Grimmsnarl,48.835,0.0,30.0
Boltund,Groudon,48.832,0.0,23.0
Chandelure,Charizard,48.761,0.0,19.0
Palossand,Weezing,48.739,0.0,2.0
Palossand,Eternatus,48.739,0.0,1.0
Palossand,Regigigas,48.739,0.0,1.0
Butterfree,Zacian Crowned Sword,48.711,0.0,65.0
Flapple,Arcanine,48.701,,0.0
Marowak,Rillaboom,48.597,,27.0
Gyarados,Zacian Crowned Sword,48.502,0.0,65.0
Cobalion,Kyogre,48.455,0.0,35.0
Vaporeon,Jolteon,48.452,,
Reshiram,Gastrodon,48.421,1.0,20.0
Galarian Slowbro,Tyranitar,48.414,,0.0
Lycanroc Midnight Form,Grimmsnarl,48.386,,30.0
Arcanine,Thundurus Incarnate Forme,48.365,0.0,21.0
Meowstic Male,Rillaboom,48.354,0.0,27.0
Heat Rotom,Yveltal,48.354,1.0,11.0
Runerigus,Hatterene,48.346,,0.0
Dragapult,Incineroar,48.311,1.0,59.0
Lycanroc Midnight Form,Goodra,48.287,,0.0
Magnezone,Incineroar,48.245,,59.0
Arcanine,Solgaleo,48.233,0.0,4.0
Mamoswine,Regieleki,48.222,1.0,29.0
Landorus Incarnate Forme,Calyrex Ice Rider,48.195,0.0,11.0
Sandslash,Gyarados,48.152,,0.0
Gastrodon,Groudon,48.02,20.0,23.0
Darmanitan Standard Mode,Zacian Crowned Sword,48.014,0.0,65.0
Scyther,Incineroar,47.973,,59.0
Obstagoon,Incineroar,47.927,0.0,59.0
Kingler,Zacian Crowned Sword,47.922,0.0,65.0
Garchomp,Umbreon,47.877,0.0,1.0
Suicune,Charizard,47.839,0.0,19.0
Chansey,Zacian Crowned Sword,47.824,0.0,65.0
Charizard,Gastrodon,47.798,19.0,20.0
Mienshao,Zacian Crowned Sword,47.745,0.0,65.0
Heat Rotom,Rillaboom,47.653,1.0,27.0
Blaziken,Amoonguss,47.567,0.0,18.0
Altaria,Rillaboom,47.55,0.0,27.0
Altaria,Celesteela,47.475,0.0,1.0
Vaporeon,Umbreon,47.431,,1.0
Cradily,Gastrodon,47.427,0.0,20.0
Accelgor,Yveltal,47.426,0.0,11.0
Raikou,Rillaboom,47.383,0.0,27.0
Dragalge,Rillaboom,47.36,,27.0
Regieleki,Incineroar,47.343,29.0,59.0
Regigigas,Whimsicott,47.184,1.0,17.0
Shiinotic,Hatterene,47.176,,0.0
Zapdos,Grimmsnarl,47.175,8.0,30.0
Clefairy,Regieleki,47.149,0.0,29.0
Talonflame,Zacian Crowned Sword,47.145,0.0,65.0
Goodra,Kyogre,47.126,0.0,35.0
Reuniclus,Incineroar,47.112,,59.0
Galarian Articuno,Incineroar,47.055,0.0,59.0
Reshiram,Rillaboom,46.983,1.0,27.0
Heat Rotom,Landorus Therian Forme,46.956,1.0,20.0
Boltund,Incineroar,46.878,0.0,59.0
Boltund,Gastrodon,46.817,0.0,20.0
Dracozolt,Calyrex Shadow Rider,46.762,0.0,22.0
Excadrill,Zacian Crowned Sword,46.724,0.0,65.0
Hatterene,Indeedee Male,46.718,0.0,1.0
Bouffalant,Wash Rotom,46.695,,0.0
Calyrex Ice Rider,Palkia,46.625,11.0,9.0
Glastrier,Yveltal,46.577,0.0,11.0
Landorus Incarnate Forme,Rillaboom,46.501,0.0,27.0
Crawdaunt,Sableye,46.447,,2.0
Hatterene,Slowking,46.434,0.0,0.0
Reshiram,Zacian Crowned Sword,46.42,1.0,65.0
Mewtwo,Regieleki,46.413,0.0,29.0
Gothitelle,Thundurus Incarnate Forme,46.404,2.0,21.0
Kommo-o,Indeedee Female,46.381,0.0,18.0
Arctozolt,Whimsicott,46.381,,17.0
Gastrodon,Grimmsnarl,46.379,20.0,30.0
Vileplume,Dusclops,46.367,,4.0
Mimikyu,Kyogre,46.358,2.0,35.0
Articuno,Solgaleo,46.341,0.0,4.0
Articuno,Raichu,46.341,0.0,3.0
Tangrowth,Indeedee Female,46.333,,18.0
Clefairy,Calyrex Shadow Rider,46.257,0.0,22.0
Lycanroc Midday Form,Clefairy,46.207,,0.0
Thievul,Torkoal,46.205,,3.0
Crobat,Incineroar,46.162,0.0,59.0
Zygarde Complete Forme,Zamazenta Crowned Shield,46.162,1.0,0.0
Exploud,Cinderace,46.12,,1.0
Mow Rotom,Galarian Articuno,46.085,0.0,0.0
Mow Rotom,Eternatus,46.085,0.0,1.0
Gourgeist Small Size,Talonflame,46.072,,0.0
Gourgeist Small Size,Alolan Ninetales,46.068,,0.0
Arctozolt,Cinderace,46.001,,1.0
Amoonguss,Zacian Crowned Sword,45.934,18.0,65.0
Yveltal,Landorus Therian Forme,45.888,11.0,20.0
Lickilicky,Grimmsnarl,45.779,,30.0
Crobat,Groudon,45.754,0.0,23.0
Exploud,Indeedee Female,45.687,,18.0
Dusk Mane Necrozma,Incineroar,45.562,0.0,59.0
Conkeldurr,Regieleki,45.468,0.0,29.0
Milotic,Incineroar,45.454,0.0,59.0
White Kyurem,Whimsicott,45.426,2.0,17.0
Dragalge,Incineroar,45.421,,59.0
Gastrodon,Charizard,45.372,20.0,19.0
Clawitzer,Indeedee Female,45.281,,18.0
Dracovish,Kyogre,45.216,0.0,35.0
Hitmontop,Whimsicott,45.171,0.0,17.0
Thievul,Clefairy,45.157,,0.0
Tapu Bulu,Thundurus Incarnate Forme,45.074,0.0,21.0
Tangrowth,Porygon2,45.066,,9.0
Dunsparce,Dragapult,45.061,,1.0
Silvally,Calyrex Shadow Rider,45.05,0.0,22.0
Lopunny,Togekiss,44.969,,1.0
Silvally,Yveltal,44.967,0.0,11.0
Silvally,Indeedee Female,44.966,0.0,18.0
Barraskewda,Whimsicott,44.935,1.0,17.0
Arcanine,Alcremie,44.917,0.0,0.0
Regieleki,Zacian Crowned Sword,44.907,29.0,65.0
Dedenne,Togekiss,44.878,,1.0
Xurkitree,Incineroar,44.861,0.0,59.0
Tapu Bulu,Calyrex Shadow Rider,44.857,0.0,22.0
Klefki,Zacian Crowned Sword,44.851,0.0,65.0
Exploud,Dragapult,44.84,,1.0
Tapu Bulu,Zacian Crowned Sword,44.839,0.0,65.0
Crawdaunt,Cinderace,44.647,,1.0
Porygon-Z,Rillaboom,44.62,0.0,27.0
Urshifu Single Strike Style,Kyogre,44.607,4.0,35.0
Glastrier,Raichu,44.55,0.0,3.0
Oranguru,Calyrex Ice Rider,44.544,0.0,11.0
Milotic,Venusaur,44.526,0.0,7.0
Sableye,Zacian Crowned Sword,44.519,2.0,65.0
Aromatisse,Urshifu Single Strike Style,44.5,,4.0
Togedemaru,Hydreigon,44.466,0.0,0.0
Milotic,Groudon,44.433,0.0,23.0
Galarian Zapdos,Incineroar,44.408,0.0,59.0
Regidrago,Indeedee Female,44.403,0.0,18.0
Kartana,Tornadus Incarnate Forme,44.397,7.0,8.0
Magneton,Venusaur,44.38,,7.0
White Kyurem,Zacian Crowned Sword,44.355,2.0,65.0
Dracovish,Whimsicott,44.299,0.0,17.0
Mewtwo,Incineroar,44.296,0.0,59.0
Chansey,Liepard,44.245,0.0,0.0
Dunsparce,Cobalion,44.225,,0.0
Coalossal,Yveltal,44.173,1.0,11.0
Toxtricity Low Key Form,Rillaboom,44.127,,27.0
Xerneas,Charizard,44.081,4.0,19.0
Claydol,Tyranitar,44.08,,0.0
Dunsparce,Espeon,44.044,,0.0
Diggersby,Rillaboom,44.025,0.0,27.0
Tangrowth,Snorlax,44.014,,0.0
Magnezone,Togekiss,43.977,,1.0
Indeedee Female,Zacian Crowned Sword,43.973,18.0,65.0
Claydol,Durant,43.967,,0.0
Ninjask,Gyarados,43.928,,0.0
Ninjask,Alolan Marowak,43.924,,0.0
Mime Galarian Mr. Mime,Regieleki,43.888,0.0,29.0
Kommo-o,Entei,43.871,0.0,2.0
Wash Rotom,Incineroar,43.818,0.0,59.0
Umbreon,Zacian Crowned Sword,43.745,1.0,65.0
Silvally,Stakataka,43.712,0.0,0.0
Durant,Kyogre,43.683,0.0,35.0
Ho-oh,Incineroar,43.664,1.0,59.0
Morpeko Full Belly Mode,Mudsdale,43.601,,0.0
Porygon-Z,Kyogre,43.542,0.0,35.0
Morpeko Full Belly Mode,Tentacruel,43.53,,
Mow Rotom,Grimmsnarl,43.514,0.0,30.0
Abomasnow,Solgaleo,43.48,0.0,4.0
Galvantula,Milotic,43.414,,0.0
Gigalith,Gastrodon,43.308,0.0,20.0
Durant,Regieleki,43.257,0.0,29.0
Heatran,Rillaboom,43.255,0.0,27.0
Arctozolt,Togekiss,43.249,,1.0
Porygon2,Zacian Crowned Sword,43.137,9.0,65.0
Politoed,Thundurus Incarnate Forme,43.127,0.0,21.0
Landorus Therian Forme,Kyogre,43.125,20.0,35.0
Drampa,Rillaboom,43.09,0.0,27.0
Togekiss,Incineroar,42.981,1.0,59.0
Malamar,Torkoal,42.951,,3.0
Galarian Moltres,Zacian Crowned Sword,42.898,0.0,65.0
Lycanroc Dusk Form,Rillaboom,42.866,,27.0
Gigalith,Rillaboom,42.866,0.0,27.0
Hitmontop,Indeedee Female,42.85,0.0,18.0
Gothitelle,Entei,42.787,2.0,2.0
Torkoal,Porygon2,42.77,3.0,9.0
Darmanitan Galarian Standard Mode,Zacian Crowned Sword,42.705,0.0,65.0
Polteageist,Whimsicott,42.693,,17.0
Pikachu,Kyogre,42.692,0.0,35.0
Lugia,Incineroar,42.661,0.0,59.0
Gigalith,Tornadus Incarnate Forme,42.639,0.0,8.0
Virizion,Incineroar,42.61,,59.0
Drampa,Calyrex Shadow Rider,42.605,0.0,22.0
Obstagoon,Gastrodon,42.584,0.0,20.0
Polteageist,Cinderace,42.574,,1.0
Centiskorch,Zacian Crowned Sword,42.535,0.0,65.0
Drampa,Blastoise,42.53,0.0,7.0
Galvantula,Incineroar,42.522,,59.0
Hatterene,Incineroar,42.467,0.0,59.0
Mienshao,Zapdos,42.417,0.0,8.0
Leafeon,Zacian Crowned Sword,42.372,0.0,65.0
Dialga,Incineroar,42.353,4.0,59.0
Solgaleo,Kyogre,42.346,4.0,35.0
Claydol,Hitmontop,42.342,,0.0
Espeon,Calyrex Ice Rider,42.321,0.0,11.0
Cinderace,Indeedee Female,42.308,1.0,18.0
Galarian Articuno,Rillaboom,42.292,0.0,27.0
Ludicolo,Incineroar,42.253,0.0,59.0
Reuniclus,Indeedee Female,42.216,,18.0
Zamazenta Crowned Shield,Thundurus Incarnate Forme,42.197,0.0,21.0
Gothitelle,Palkia,42.197,2.0,9.0
Groudon,Gastrodon,42.181,23.0,20.0
Escavalier,Kyogre,42.177,0.0,35.0
Raichu,Kartana,42.174,3.0,7.0
Runerigus,Amoonguss,42.162,,18.0
Latias,Regieleki,42.11,0.0,29.0
Weezing,Kyogre,42.097,2.0,35.0
Krookodile,Yveltal,42.01,0.0,11.0
Wash Rotom,Regieleki,41.972,0.0,29.0
Pikachu,Zacian Crowned Sword,41.961,0.0,65.0
Unfezant,Krookodile,41.951,,0.0
Falinks,Togekiss,41.925,,1.0
Pikachu,Whimsicott,41.875,0.0,17.0
Articuno,Spectrier,41.842,0.0,1.0
Crobat,Zacian Crowned Sword,41.813,0.0,65.0
Latias,Sableye,41.784,0.0,2.0
Tornadus Incarnate Forme,Kartana,41.763,8.0,7.0
Mandibuzz,Zacian Crowned Sword,41.762,0.0,65.0
Volcarona,Zacian Crowned Sword,41.736,0.0,65.0
Beheeyem,Primarina,41.734,,0.0
Chandelure,Venusaur,41.651,0.0,7.0
Krookodile,Torkoal,41.618,0.0,3.0
Cradily,Zacian Crowned Sword,41.617,0.0,65.0
Pincurchin,Calyrex Ice Rider,41.583,0.0,11.0
Liepard,Indeedee Female,41.503,0.0,18.0
Solgaleo,Incineroar,41.476,4.0,59.0
Vileplume,Togekiss,41.45,,1.0
Wigglytuff,Azumarill,41.39,,0.0
Vikavolt,Porygon2,41.381,0.0,9.0
Meowstic Male,Amoonguss,41.294,0.0,18.0
Sharpedo,Porygon2,41.289,,9.0
Darmanitan Galarian Standard Mode,Calyrex Shadow Rider,41.273,0.0,22.0
Comfey,Incineroar,41.267,1.0,59.0
Articuno,Amoonguss,41.251,0.0,18.0
Calyrex Shadow Rider,Regieleki,41.234,22.0,29.0
Araquanid,Lunala,41.225,1.0,2.0
Raikou,Incineroar,41.224,0.0,59.0
Volcarona,Rillaboom,41.223,0.0,27.0
Galarian Articuno,Eternatus,41.156,0.0,1.0
Lapras,Regieleki,41.148,1.0,29.0
Obstagoon,Ho-oh,41.131,0.0,1.0
Obstagoon,Sableye,41.12,0.0,2.0
Mime Galarian Mr. Mime,Landorus Therian Forme,41.071,0.0,20.0
Meowstic Male,Kyogre,41.02,0.0,35.0
Thundurus Therian Forme,Indeedee Female,40.965,0.0,18.0
Silvally,Incineroar,40.953,0.0,59.0
Ludicolo,Thundurus Incarnate Forme,40.935,0.0,21.0
Wigglytuff,Goodra,40.875,,0.0
Indeedee Male,Dialga,40.852,1.0,4.0
Vileplume,Rhyperior,40.836,,0.0
Latias,Zacian Crowned Sword,40.801,0.0,65.0
White Kyurem,Indeedee Female,40.784,2.0,18.0
Butterfree,Incineroar,40.783,0.0,59.0
Tornadus Incarnate Forme,Amoonguss,40.781,8.0,18.0
Sandslash,Espeon,40.716,,0.0
Entei,Thundurus Incarnate Forme,40.69,2.0,21.0
Umbreon,Groudon,40.685,1.0,23.0
Milotic,Calyrex Shadow Rider,40.623,0.0,22.0
Alolan Marowak,Amoonguss,40.533,0.0,18.0
Xurkitree,Calyrex Shadow Rider,40.525,0.0,22.0
Galarian Moltres,Incineroar,40.508,0.0,59.0
Mow Rotom,Escavalier,40.42,0.0,0.0
Wash Rotom,Landorus Therian Forme,40.363,0.0,20.0
Raichu,Tornadus Incarnate Forme,40.358,3.0,8.0
Magneton,Rillaboom,40.322,,27.0
Mudsdale,Incineroar,40.273,0.0,59.0
Inteleon,Shedinja,40.272,0.0,4.0
Darmanitan Galarian Standard Mode,Whimsicott,40.269,0.0,17.0
Darmanitan Galarian Standard Mode,Thundurus Incarnate Forme,40.268,0.0,21.0
Comfey,Zacian Crowned Sword,40.26,1.0,65.0
Drampa,Dusclops,40.243,0.0,4.0
Urshifu Single Strike Style,Regieleki,40.16,4.0,29.0
Sandaconda,Lapras,40.153,,1.0
Chansey,Incineroar,40.113,0.0,59.0
Tapu Fini,Groudon,40.072,2.0,23.0
Zekrom,Kyogre,39.912,0.0,35.0
Urshifu Rapid Strike Style,Calyrex Shadow Rider,39.911,2.0,22.0
Espeon,Groudon,39.871,0.0,23.0
Wigglytuff,Arcanine,39.835,,0.0
Shiinotic,Meowstic Male,39.786,,0.0
Wigglytuff,Weavile,39.78,,0.0
Dragalge,Togekiss,39.737,,1.0
Urshifu Rapid Strike Style,Rillaboom,39.735,2.0,27.0
Hitmonlee,Rillaboom,39.724,,27.0
Grimmsnarl,Groudon,39.662,30.0,23.0
Thundurus Therian Forme,Kartana,39.621,0.0,7.0
Zapdos,Rillaboom,39.572,8.0,27.0
Scizor,Thundurus Incarnate Forme,39.538,0.0,21.0
Espeon,Umbreon,39.473,0.0,1.0
Decidueye,Cinderace,39.463,,1.0
Clefairy,Landorus Therian Forme,39.459,0.0,20.0
Cobalion,Yveltal,39.447,0.0,11.0
Barraskewda,Indeedee Female,39.425,1.0,18.0
Leafeon,White Kyurem,39.412,0.0,2.0
Durant,Zacian Crowned Sword,39.367,0.0,65.0
Gengar,Kyogre,39.333,0.0,35.0
Drampa,Tapu Fini,39.323,0.0,2.0
Passimian,Azumarill,39.316,,0.0
Calyrex Shadow Rider,Incineroar,39.309,22.0,59.0
Espeon,Grapploct,39.299,0.0,
Espeon,Thundurus Incarnate Forme,39.299,0.0,21.0
Dusknoir,Rillaboom,39.289,,27.0
Mudsdale,Raichu,39.282,0.0,3.0
Volcarona,Calyrex Shadow Rider,39.275,0.0,22.0
Chansey,Indeedee Female,39.27,0.0,18.0
Leafeon,Torkoal,39.126,0.0,3.0
Accelgor,Eternatus,39.111,0.0,1.0
Runerigus,Liepard,39.074,,0.0
Pincurchin,Incineroar,39.074,0.0,59.0
Cofagrigus,Incineroar,39.071,,59.0
Chansey,Eternatus,39.057,0.0,1.0
Lunala,Charizard,39.053,2.0,19.0
Runerigus,Shuckle,39.035,,0.0
Runerigus,Chansey,39.03,,0.0
Porygon-Z,Whimsicott,39.024,0.0,17.0
Cresselia,Zacian Crowned Sword,39.014,0.0,65.0
Accelgor,Regigigas,39.005,0.0,1.0
Accelgor,Weezing,39.005,0.0,2.0
Kingler,Incineroar,38.982,0.0,59.0
Leafeon,Hitmontop,38.961,0.0,0.0
Mudsdale,Eternatus,38.923,0.0,1.0
Mudsdale,Kartana,38.921,0.0,7.0
Espeon,Garchomp,38.908,0.0,0.0
Boltund,Grimmsnarl,38.906,0.0,30.0
Sirfetch'd,Gyarados,38.874,,0.0
Leafeon,Wash Rotom,38.824,0.0,0.0
Magneton,Tyranitar,38.813,,0.0
Dedenne,Excadrill,38.797,,0.0
Entei,Palkia,38.769,2.0,9.0
Boltund,Eternatus,38.761,0.0,1.0
Lunala,Regieleki,38.76,2.0,29.0
Boltund,Rillaboom,38.753,0.0,27.0
Whimsicott,Indeedee Female,38.753,17.0,18.0
Pikachu,Groudon,38.735,0.0,23.0
Braviary,Incineroar,38.734,,59.0
Blaziken,Kyogre,38.729,0.0,35.0
Goodra,Gastrodon,38.686,0.0,20.0
Pikachu,Gastrodon,38.665,0.0,20.0
Pikachu,Pheromosa,38.623,0.0,1.0
Pikachu,Celesteela,38.623,0.0,1.0
Marowak,Indeedee Female,38.584,,18.0
Beheeyem,Dragapult,38.576,,1.0
Hawlucha,Incineroar,38.559,0.0,59.0
Togekiss,Calyrex Ice Rider,38.495,1.0,11.0
Meowstic Male,Heat Rotom,38.469,0.0,1.0
Hatterene,Palkia,38.434,0.0,9.0
Malamar,Rillaboom,38.37,,27.0
Gardevoir,Urshifu Single Strike Style,38.357,,4.0
Blastoise,Regieleki,38.35,7.0,29.0
Dracozolt,Klinklang,38.349,0.0,0.0
Stoutland,Rillaboom,38.342,,27.0
Politoed,Rillaboom,38.336,0.0,27.0
