ID,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank,image_url,missing_base_stats,offensive_score,defensive_score,speed_tier,is_single_type,is_legendary,is_mythical,has_usage_data,is_permitted_vgc2022,stat_specialization,normalized_name
174,Igglybuff,Igglybuff,,2,Baby,Normal,Fairy,210.0,90.0,30.0,15.0,40.0,20.0,15.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,False,40.0,125.0,slow,False,False,False,False,True,66.0,igglybuff
175,Togepi,Togepi,,2,Baby,Fairy,,245.0,35.0,20.0,65.0,40.0,65.0,20.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,False,40.0,165.0,slow,True,False,False,False,True,36.25,togepi
176,Togetic,Togetic,,2,Common,Fairy,Flying,405.0,55.0,40.0,85.0,80.0,105.0,40.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,False,80.0,245.0,slow,False,False,False,False,True,45.0,togetic
177,Natu,Natu,,2,Common,Psychic,Flying,320.0,40.0,50.0,45.0,70.0,45.0,70.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,False,70.0,130.0,mid,False,False,False,False,True,25.0,natu
178,Xatu,Xatu,,2,Common,Psychic,Flying,470.0,65.0,75.0,70.0,95.0,70.0,95.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,False,95.0,205.0,fast,False,False,False,False,True,25.0,xatu
179,Mareep,Mareep,,2,Common,Electric,,280.0,55.0,40.0,40.0,65.0,45.0,35.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,False,65.0,140.0,slow,True,False,False,False,False,22.0,mareep
180,Flaaffy,Flaaffy,,2,Common,Electric,,365.0,70.0,55.0,55.0,80.0,60.0,45.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,False,80.0,185.0,slow,True,False,False,False,False,23.0,flaaffy
181,Ampharos,Ampharos,,2,Common,Electric,,510.0,90.0,75.0,85.0,115.0,90.0,55.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,False,115.0,265.0,mid,True,False,False,False,False,36.0,ampharos
181,Mega Ampharos,Ampharos,Mega,6,Common,Electric,Dragon,610.0,90.0,95.0,105.0,165.0,110.0,45.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,False,165.0,305.0,slow,False,False,False,False,False,76.0,mega ampharos
182,Bellossom,Bellossom,,2,Common,Grass,,490.0,75.0,80.0,95.0,90.0,100.0,50.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,False,90.0,270.0,mid,True,False,False,False,True,22.0,bellossom
183,Marill,Marill,,2,Common,Water,Fairy,250.0,70.0,20.0,50.0,20.0,50.0,40.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,False,20.0,170.0,slow,False,False,False,False,True,34.0,marill
184,Azumarill,Azumarill,,2,Common,Water,Fairy,420.0,100.0,50.0,80.0,60.0,80.0,50.0,Permitted,9,0,115,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,False,60.0,260.0,mid,False,False,False,True,True,36.0,azumarill
185,Sudowoodo,Sudowoodo,,2,Common,Rock,,410.0,70.0,100.0,115.0,30.0,65.0,30.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,False,100.0,250.0,slow,True,False,False,False,True,56.0,sudowoodo
186,Politoed,Politoed,,2,Common,Water,,500.0,90.0,75.0,75.0,90.0,100.0,70.0,Permitted,7,0,111,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,False,90.0,265.0,mid,True,False,False,True,True,20.0,politoed
187,Hoppip,Hoppip,,2,Common,Grass,Flying,250.0,35.0,35.0,40.0,35.0,55.0,50.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,False,35.0,130.0,mid,False,False,False,False,False,16.0,hoppip
188,Skiploom,Skiploom,,2,Common,Grass,Flying,340.0,55.0,45.0,50.0,45.0,65.0,80.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,False,45.0,170.0,mid,False,False,False,False,False,28.0,skiploom
189,Jumpluff,Jumpluff,,2,Common,Grass,Flying,460.0,75.0,55.0,70.0,55.0,95.0,110.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,False,55.0,240.0,fast,False,False,False,False,False,40.0,jumpluff
190,Aipom,Aipom,,2,Common,Normal,,360.0,55.0,70.0,55.0,40.0,55.0,85.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,False,70.0,165.0,mid,True,False,False,False,False,30.0,aipom
191,Sunkern,Sunkern,,2,Common,Grass,,180.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,False,30.0,90.0,slow,True,False,False,False,False,0,sunkern
192,Sunflora,Sunflora,,2,Common,Grass,,425.0,75.0,75.0,55.0,105.0,85.0,30.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,False,105.0,215.0,slow,True,False,False,False,False,41.0,sunflora
193,Yanma,Yanma,,2,Common,Bug,Flying,390.0,65.0,65.0,45.0,75.0,45.0,95.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,False,75.0,155.0,fast,False,False,False,False,False,36.0,yanma
194,Wooper,Wooper,,2,Common,Water,Ground,210.0,55.0,45.0,45.0,25.0,25.0,15.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,False,45.0,125.0,slow,False,False,False,False,True,24.0,wooper
195,Quagsire,Quagsire,,2,Common,Water,Ground,430.0,95.0,85.0,85.0,65.0,65.0,35.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,False,85.0,245.0,slow,False,False,False,False,True,28.0,quagsire
196,Espeon,Espeon,,2,Common,Psychic,,525.0,65.0,65.0,60.0,130.0,95.0,110.0,Permitted,3,0,218,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,False,130.0,220.0,fast,True,False,False,True,True,51.0,espeon
197,Umbreon,Umbreon,,2,Common,Dark,,525.0,95.0,65.0,110.0,60.0,130.0,65.0,Permitted,35,1,56,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,False,65.0,335.0,mid,True,False,False,True,True,51.0,umbreon
198,Murkrow,Murkrow,,2,Common,Dark,Flying,405.0,60.0,85.0,42.0,85.0,42.0,91.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,False,85.0,144.0,fast,False,False,False,False,False,28.200000000000003,murkrow
199,Slowking,Slowking,,2,Common,Water,Psychic,490.0,95.0,75.0,80.0,100.0,110.0,30.0,Permitted,2,0,113,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,False,100.0,285.0,slow,False,False,False,True,True,34.0,slowking
199,Galarian Slowking,Slowking,Galarian,8,Common,Poison,Psychic,490.0,95.0,65.0,80.0,110.0,110.0,30.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png,False,110.0,285.0,slow,False,False,False,False,False,42.5,galarian slowking
200,Misdreavus,Misdreavus,,2,Common,Ghost,,435.0,60.0,60.0,60.0,85.0,85.0,85.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,False,85.0,205.0,mid,True,False,False,False,False,25.0,misdreavus
201,Unown,Unown,,2,Common,Psychic,,336.0,48.0,72.0,48.0,72.0,48.0,48.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,False,72.0,144.0,slow,True,False,False,False,False,24.0,unown
202,Wobbuffet,Wobbuffet,,2,Common,Psychic,,405.0,190.0,33.0,58.0,33.0,58.0,33.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,False,33.0,306.0,slow,True,False,False,False,True,147.0,wobbuffet
203,Girafarig,Girafarig,,2,Common,Normal,Psychic,455.0,70.0,80.0,65.0,90.0,65.0,85.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png,False,90.0,200.0,mid,False,False,False,False,False,17.0,girafarig
204,Pineco,Pineco,,2,Common,Bug,,290.0,50.0,65.0,90.0,35.0,35.0,15.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png,False,65.0,175.0,slow,True,False,False,False,False,50.0,pineco
205,Forretress,Forretress,,2,Common,Bug,Steel,465.0,75.0,90.0,140.0,60.0,60.0,40.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png,False,90.0,275.0,slow,False,False,False,False,False,75.0,forretress
206,Dunsparce,Dunsparce,,2,Common,Normal,,415.0,100.0,70.0,70.0,65.0,65.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png,False,70.0,235.0,slow,True,False,False,False,True,37.0,dunsparce
207,Gligar,Gligar,,2,Common,Ground,Flying,430.0,65.0,75.0,105.0,35.0,65.0,85.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png,False,75.0,235.0,mid,False,False,False,False,False,40.0,gligar
208,Steelix,Steelix,,2,Common,Steel,Ground,510.0,75.0,85.0,200.0,55.0,65.0,30.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png,False,85.0,340.0,slow,False,False,False,False,True,138.0,steelix
208,Mega Steelix,Steelix,Mega,6,Common,Steel,Ground,610.0,75.0,125.0,230.0,55.0,95.0,30.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png,False,125.0,400.0,slow,False,False,False,False,False,154.0,mega steelix
209,Snubbull,Snubbull,,2,Common,Fairy,,300.0,60.0,80.0,50.0,40.0,40.0,30.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png,False,80.0,150.0,slow,True,False,False,False,False,36.0,snubbull
210,Granbull,Granbull,,2,Common,Fairy,,450.0,90.0,120.0,75.0,60.0,60.0,45.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png,False,120.0,225.0,slow,True,False,False,False,False,54.0,granbull
211,Hisuian Qwilfish,Qwilfish,Hisuian,2,Common,Dark,Poison,440.0,65.0,95.0,85.0,55.0,55.0,85.0,,,,,https://img.pokemondb.net/s.png,False,95.0,205.0,mid,False,False,False,False,False,26.0,hisuian qwilfish
211,Qwilfish,Qwilfish,,2,Common,Water,Poison,440.0,65.0,95.0,85.0,55.0,55.0,85.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png,False,95.0,205.0,mid,False,False,False,False,True,26.0,qwilfish
212,Mega Scizor,Scizor,Mega,6,Common,Bug,Steel,600.0,70.0,150.0,140.0,65.0,100.0,75.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png,False,150.0,310.0,mid,False,False,False,False,False,60.0,mega scizor
212,Scizor,Scizor,,2,Common,Bug,Steel,500.0,70.0,130.0,100.0,55.0,80.0,65.0,Permitted,7,0,116,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,False,130.0,250.0,mid,False,False,False,True,True,56.0,scizor
213,Shuckle,Shuckle,,2,Common,Bug,Rock,505.0,20.0,10.0,230.0,10.0,230.0,5.0,Permitted,7,0,92,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,False,10.0,480.0,slow,False,False,False,True,True,218.75,shuckle
214,Heracross,Heracross,,2,Common,Bug,Fighting,500.0,80.0,125.0,75.0,40.0,95.0,85.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png,False,125.0,250.0,mid,False,False,False,False,True,50.0,heracross
214,Mega Heracross,Heracross,Mega,6,Common,Bug,Fighting,600.0,80.0,185.0,115.0,40.0,105.0,75.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png,False,185.0,300.0,mid,False,False,False,False,False,102.0,mega heracross
215,Hisuian Sneasel,Sneasel,Hisuian,2,Common,Poison,Fighting,430.0,55.0,95.0,55.0,35.0,75.0,115.0,,,,,https://img.pokemondb.net/s.png,False,95.0,185.0,fast,False,False,False,False,False,52.0,hisuian sneasel
215,Sneasel,Sneasel,,2,Common,Dark,Ice,430.0,55.0,95.0,55.0,35.0,75.0,115.0,Permitted,3,0,108,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,False,95.0,185.0,fast,False,False,False,True,True,52.0,sneasel
216,Teddiursa,Teddiursa,,2,Common,Normal,,330.0,60.0,80.0,50.0,50.0,50.0,40.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,False,80.0,160.0,slow,True,False,False,False,False,30.0,teddiursa
217,Ursaring,Ursaring,,2,Common,Normal,,500.0,90.0,130.0,75.0,75.0,75.0,55.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,False,130.0,240.0,mid,True,False,False,False,False,56.0,ursaring
218,Slugma,Slugma,,2,Common,Fire,,250.0,40.0,40.0,40.0,70.0,40.0,20.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,False,70.0,120.0,slow,True,False,False,False,False,34.0,slugma
219,Magcargo,Magcargo,,2,Common,Fire,Rock,430.0,60.0,50.0,120.0,90.0,80.0,30.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,False,90.0,260.0,slow,False,False,False,False,False,58.0,magcargo
220,Swinub,Swinub,,2,Common,Ice,Ground,250.0,50.0,50.0,40.0,30.0,30.0,50.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,False,50.0,120.0,mid,False,False,False,False,True,16.666666666666664,swinub
221,Piloswine,Piloswine,,2,Common,Ice,Ground,450.0,100.0,100.0,80.0,60.0,60.0,50.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,False,100.0,240.0,mid,False,False,False,False,True,37.5,piloswine
222,Corsola,Corsola,,2,Common,Water,Rock,410.0,65.0,55.0,95.0,65.0,95.0,35.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,False,65.0,255.0,slow,False,False,False,False,False,40.0,corsola
222,Galarian Corsola,Corsola,Galarian,8,Common,Ghost,,410.0,60.0,55.0,100.0,65.0,100.0,30.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,False,65.0,260.0,slow,True,False,False,False,True,47.5,galarian corsola
223,Remoraid,Remoraid,,2,Common,Water,,300.0,35.0,65.0,35.0,65.0,35.0,65.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,False,65.0,105.0,mid,True,False,False,False,True,30.0,remoraid
224,Octillery,Octillery,,2,Common,Water,,480.0,75.0,105.0,75.0,105.0,75.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,False,105.0,225.0,slow,True,False,False,False,True,37.5,octillery
225,Delibird,Delibird,,2,Common,Ice,Flying,330.0,45.0,55.0,45.0,65.0,45.0,75.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,False,65.0,135.0,mid,False,False,False,False,True,24.0,delibird
226,Mantine,Mantine,,2,Common,Water,Flying,485.0,85.0,40.0,70.0,80.0,140.0,70.0,Permitted,3,0,203,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,False,80.0,295.0,mid,False,False,False,True,True,71.0,mantine
227,Skarmory,Skarmory,,2,Common,Steel,Flying,465.0,65.0,80.0,140.0,40.0,70.0,70.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,False,80.0,275.0,mid,False,False,False,False,True,75.0,skarmory
228,Houndour,Houndour,,2,Common,Dark,Fire,330.0,45.0,60.0,30.0,80.0,50.0,65.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,False,80.0,125.0,mid,False,False,False,False,False,30.0,houndour
229,Houndoom,Houndoom,,2,Common,Dark,Fire,500.0,75.0,90.0,50.0,110.0,80.0,95.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png,False,110.0,205.0,fast,False,False,False,False,False,32.0,houndoom
229,Mega Houndoom,Houndoom,Mega,6,Common,Dark,Fire,600.0,75.0,90.0,90.0,140.0,90.0,115.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png,False,140.0,255.0,fast,False,False,False,False,False,48.0,mega houndoom
230,Kingdra,Kingdra,,2,Common,Water,Dragon,540.0,75.0,95.0,95.0,95.0,95.0,85.0,Permitted,37,3,34,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png,False,95.0,265.0,mid,False,False,False,True,True,15.0,kingdra
231,Phanpy,Phanpy,,2,Common,Ground,,330.0,90.0,60.0,60.0,40.0,40.0,40.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png,False,60.0,190.0,slow,True,False,False,False,False,42.0,phanpy
232,Donphan,Donphan,,2,Common,Ground,,500.0,90.0,120.0,120.0,60.0,60.0,50.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png,False,120.0,270.0,mid,True,False,False,False,False,55.0,donphan
233,Porygon2,Porygon2,,2,Common,Normal,,515.0,85.0,80.0,90.0,105.0,95.0,60.0,Permitted,117,9,19,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png,False,105.0,270.0,mid,True,False,False,True,True,23.0,porygon2
234,Stantler,Stantler,,2,Common,Normal,,465.0,73.0,95.0,62.0,85.0,65.0,85.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png,False,95.0,200.0,mid,True,False,False,False,False,21.0,stantler
235,Smeargle,Smeargle,,2,Common,Normal,,250.0,55.0,20.0,35.0,20.0,45.0,75.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png,False,20.0,135.0,mid,True,False,False,False,False,40.0,smeargle
236,Tyrogue,Tyrogue,,2,Baby,Fighting,,210.0,35.0,35.0,35.0,35.0,35.0,35.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,False,35.0,105.0,slow,True,False,False,False,True,0,tyrogue
237,Hitmontop,Hitmontop,,2,Common,Fighting,,455.0,50.0,95.0,95.0,35.0,110.0,70.0,Permitted,27,0,89,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,False,95.0,255.0,mid,True,False,False,True,True,41.0,hitmontop
238,Smoochum,Smoochum,,2,Baby,Ice,Psychic,305.0,45.0,30.0,15.0,85.0,65.0,65.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,False,85.0,125.0,mid,False,False,False,False,True,41.0,smoochum
239,Elekid,Elekid,,2,Baby,Electric,,360.0,45.0,63.0,37.0,65.0,55.0,95.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,False,65.0,137.0,fast,True,False,False,False,True,42.0,elekid
240,Magby,Magby,,2,Baby,Fire,,365.0,45.0,75.0,37.0,70.0,55.0,83.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,False,75.0,137.0,mid,True,False,False,False,True,26.6,magby
241,Miltank,Miltank,,2,Common,Normal,,490.0,95.0,80.0,105.0,40.0,70.0,100.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png,False,80.0,270.0,fast,True,False,False,False,True,28.0,miltank
242,Blissey,Blissey,,2,Common,Normal,,540.0,255.0,10.0,10.0,75.0,135.0,55.0,Permitted,3,0,223,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,False,75.0,400.0,mid,True,False,False,True,True,198.0,blissey
243,Raikou,Raikou,,2,Legendary,Electric,,580.0,90.0,85.0,75.0,115.0,100.0,115.0,Permitted,7,0,125,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png,False,115.0,265.0,fast,True,True,False,True,True,27.5,raikou
244,Entei,Entei,,2,Legendary,Fire,,580.0,115.0,115.0,85.0,90.0,75.0,100.0,Permitted,50,2,37,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png,False,115.0,275.0,fast,True,True,False,True,True,27.5,entei
245,Suicune,Suicune,,2,Legendary,Water,,580.0,100.0,75.0,115.0,90.0,115.0,85.0,Permitted,28,0,77,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png,False,90.0,330.0,mid,True,True,False,True,True,27.5,suicune
246,Larvitar,Larvitar,,2,Common,Rock,Ground,300.0,50.0,64.0,50.0,45.0,50.0,41.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png,False,64.0,150.0,slow,False,False,False,False,True,16.799999999999997,larvitar
247,Pupitar,Pupitar,,2,Common,Rock,Ground,410.0,70.0,84.0,70.0,65.0,70.0,51.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png,False,84.0,210.0,mid,False,False,False,False,True,18.799999999999997,pupitar
248,Mega Tyranitar,Tyranitar,Mega,6,Common,Rock,Dark,700.0,100.0,164.0,150.0,95.0,120.0,71.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png,False,164.0,370.0,mid,False,False,False,False,False,56.8,mega tyranitar
248,Tyranitar,Tyranitar,,2,Common,Rock,Dark,600.0,100.0,134.0,110.0,95.0,100.0,61.0,Permitted,24,0,118,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,False,134.0,310.0,mid,False,False,False,True,True,40.8,tyranitar
249,Lugia,Lugia,,2,Legendary,Psychic,Flying,680.0,106.0,90.0,130.0,90.0,154.0,110.0,Restricted (players can include two Restricted Pokémon in their team),27,0,75,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png,False,90.0,390.0,fast,False,True,False,True,True,48.8,lugia
250,Ho-oh,Ho-oh,,2,Legendary,Fire,Flying,680.0,106.0,130.0,90.0,110.0,154.0,90.0,Restricted (players can include two Restricted Pokémon in their team),75,1,47,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png,False,130.0,350.0,fast,False,True,False,True,True,48.8,ho oh
251,Celebi,Celebi,,2,Mythical,Psychic,Grass,600.0,100.0,100.0,100.0,100.0,100.0,100.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png,False,100.0,300.0,fast,False,False,True,False,False,0,celebi
252,Treecko,Treecko,,3,Common,Grass,,310.0,40.0,45.0,35.0,65.0,55.0,70.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png,False,65.0,130.0,mid,True,False,False,False,True,22.0,treecko
253,Grovyle,Grovyle,,3,Common,Grass,,405.0,50.0,65.0,45.0,85.0,65.0,95.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png,False,85.0,160.0,fast,True,False,False,False,True,33.0,grovyle
254,Mega Sceptile,Sceptile,Mega,6,Common,Grass,Dragon,630.0,70.0,110.0,75.0,145.0,85.0,145.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png,False,145.0,230.0,elite,False,False,False,False,False,60.0,mega sceptile
254,Sceptile,Sceptile,,3,Common,Grass,,530.0,70.0,85.0,65.0,105.0,85.0,120.0,Permitted,5,0,146,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,False,105.0,220.0,elite,True,False,False,True,True,38.0,sceptile
255,Torchic,Torchic,,3,Common,Fire,,310.0,45.0,60.0,40.0,70.0,50.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png,False,70.0,135.0,slow,True,False,False,False,True,22.0,torchic
256,Combusken,Combusken,,3,Common,Fire,Fighting,405.0,60.0,85.0,60.0,85.0,60.0,55.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png,False,85.0,180.0,mid,False,False,False,False,True,26.25,combusken
257,Blaziken,Blaziken,,3,Common,Fire,Fighting,530.0,80.0,120.0,70.0,110.0,70.0,80.0,Permitted,6,0,225,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,False,120.0,220.0,mid,False,False,False,True,True,38.0,blaziken
257,Mega Blaziken,Blaziken,Mega,6,Common,Fire,Fighting,630.0,80.0,160.0,80.0,130.0,80.0,100.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png,False,160.0,240.0,fast,False,False,False,False,False,66.0,mega blaziken
258,Mudkip,Mudkip,,3,Common,Water,,310.0,50.0,70.0,50.0,50.0,50.0,40.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png,False,70.0,150.0,slow,True,False,False,False,True,22.0,mudkip
259,Marshtomp,Marshtomp,,3,Common,Water,Ground,405.0,70.0,85.0,70.0,60.0,70.0,50.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png,False,85.0,210.0,mid,False,False,False,False,True,21.0,marshtomp
260,Mega Swampert,Swampert,Mega,6,Common,Water,Ground,635.0,100.0,150.0,110.0,95.0,110.0,70.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png,False,150.0,320.0,mid,False,False,False,False,False,53.0,mega swampert
260,Swampert,Swampert,,3,Common,Water,Ground,535.0,100.0,110.0,90.0,85.0,90.0,60.0,Permitted,7,0,114,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,False,110.0,280.0,mid,False,False,False,True,True,25.0,swampert
261,Poochyena,Poochyena,,3,Common,Dark,,220.0,35.0,55.0,35.0,30.0,30.0,35.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png,False,55.0,100.0,slow,True,False,False,False,False,22.0,poochyena
262,Mightyena,Mightyena,,3,Common,Dark,,420.0,70.0,90.0,70.0,60.0,60.0,70.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png,False,90.0,200.0,mid,True,False,False,False,False,24.0,mightyena
263,Zigzagoon,Zigzagoon,,3,Common,Normal,,240.0,38.0,30.0,41.0,30.0,41.0,60.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png,False,30.0,120.0,mid,True,False,False,False,False,24.0,zigzagoon
263,Galarian Zigzagoon,Zigzagoon,Galarian,8,Common,Dark,Normal,240.0,38.0,30.0,41.0,30.0,41.0,60.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png,False,30.0,120.0,mid,False,False,False,False,True,24.0,galarian zigzagoon
264,Linoone,Linoone,,3,Common,Normal,,420.0,78.0,70.0,61.0,50.0,61.0,100.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png,False,70.0,200.0,fast,True,False,False,False,True,36.0,linoone
264,Galarian Linoone,Linoone,Galarian,8,Common,Dark,Normal,420.0,78.0,70.0,61.0,50.0,61.0,100.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png,False,70.0,200.0,fast,False,False,False,False,True,36.0,galarian linoone
265,Wurmple,Wurmple,,3,Common,Bug,,195.0,45.0,45.0,35.0,20.0,30.0,20.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png,False,45.0,110.0,slow,True,False,False,False,False,18.75,wurmple
266,Silcoon,Silcoon,,3,Common,Bug,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png,False,35.0,130.0,slow,True,False,False,False,False,25.0,silcoon
267,Beautifly,Beautifly,,3,Common,Bug,Flying,395.0,60.0,70.0,50.0,100.0,50.0,65.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png,False,100.0,160.0,mid,False,False,False,False,False,41.0,beautifly
